x,l,high_precision_value,forward_value,backward_value,forward_absolute_error,forward_relative_error,backward_absolute_error,backward_relative_error
0.5,8,-7.36389160156250000e-02,-7.36389160156250000e-02,-3.58477296667094913e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.51113405065532413e+00,4.76804146588784334e+01
0.5,9,-2.67898559570312500e-01,-2.67898559570312500e-01,-2.53130419519346450e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.47681400509660499e-02,5.51258658301595414e-02
0.5,10,-1.88228607177734375e-01,-1.88228607177734375e-01,-2.60545151855165025e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.23165446774306497e-02,3.84195291893893343e-01
0.5,11,6.38713836669921875e-02,6.38713836669921875e-02,3.00282040741273848e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.93894902374574629e+00,4.60135487132800733e+01
0.5,12,2.33752965927124023e-01,2.33752965927124023e-01,2.20559634174006286e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.31933317531177374e-02,5.64413448222554556e-02
0.5,13,1.65804266929626465e-01,1.65804266929626465e-01,2.30015619505453905e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.42113525758274406e-02,3.87272015159182470e-01
0.5,14,-5.71736395359039307e-02,-5.71736395359039307e-02,-2.63237862074842610e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.57520498121252217e+00,4.50418235067114026e+01
0.5,15,-2.10018500685691833e-01,-2.10018500685691833e-01,-1.97995644922008801e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.20228557636830324e-02,5.72466507685250175e-02
0.5,16,-1.49855135474354029e-01,-1.49855135474354029e-01,-2.08192903090701709e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.83377676163476799e-02,3.89294417116132219e-01
0.5,17,5.22168397437781096e-02,5.22168397437781096e-02,2.37095903025432886e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.31874219051055075e+00,4.44060230739421584e+01
0.5,18,1.92296222143340856e-01,1.92296222143340856e-01,1.81183473488284619e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.11127486550562371e-02,5.77897398669257600e-02
0.5,19,1.37767210224410519e-01,1.37767210224410519e-01,1.91596239395735390e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.38290291713248714e-02,3.90724535131706407e-01
0.5,20,-4.83583810673735570e-02,-4.83583810673735570e-02,-2.17408752136376116e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.12572914029638760e+00,4.39578226850645137e+01
0.5,21,-1.78413857922350871e-01,-1.78413857922350871e-01,-1.68033643787680848e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.03802141346700239e-02,5.81805374063918967e-02
0.5,22,-1.28198724677986320e-01,-1.28198724677986320e-01,-1.78425585563142558e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.02268608851562381e-02,3.91789083794068016e-01
0.5,23,4.52449377842185640e-02,4.52449377842185640e-02,2.01905279984736730e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.97380786206314873e+00,4.36249436672142608e+01
0.5,24,1.67159446063450901e-01,1.67159446063450901e-01,1.57384774468778466e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.77467159467243496e-03,5.84751375100999934e-02
0.5,25,1.20381116869332061e-01,1.20381116869332061e-01,1.67644217477577073e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.72631006082450122e-02,3.92612245486531286e-01
0.5,26,-4.26641412083963445e-02,-4.26641412083963445e-02,-1.89292199438363151e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.85025785317523517e+00,4.33679854034212369e+01
0.5,27,-1.57796621504634693e-01,-1.57796621504634693e-01,-1.48533150701661731e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.26347080297296177e-03,5.87051276170756364e-02
0.5,28,-1.13838402812526884e-01,-1.13838402812526898e-01,-1.58607370987586427e-01,1.38777878078144568e-17,1.21907787398149722e-16,4.47689681750595425e-02,3.93267711677110110e-01
0.5,29,4.04796869645777657e-02,4.04796869645777518e-02,1.78773073204787880e+00,1.38777878078144568e-17,3.42833377638477802e-16,1.74725104508330098e+00,4.31636501194353102e+01
0.5,30,1.49848814900610805e-01,1.49848814900610805e-01,1.41024271768048770e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.82454313256203493e-03,5.88896424600690305e-02
0.5,31,1.08258007920364385e-01,1.08258007920364427e-01,1.50890224024133268e-01,4.16333634234433703e-17,3.84575369741416892e-16,4.26322161037688829e-02,3.93801963685952383e-01
0.5,32,-3.85995628883580022e-02,-3.85995628883579883e-02,-1.69827589295910020e+00,1.38777878078144568e-17,3.59532252941655202e-16,1.65967633007074222e+00,4.29972830228944503e+01
0.5,33,-1.42992183252221072e-01,-1.42992183252221100e-01,-1.34549789546829390e-01,2.77555756156289135e-17,1.94105544683316055e-16,8.44239370539168199e-03,5.90409455494522450e-02
0.5,34,-1.03425075400987998e-01,-1.03425075400988040e-01,-1.44199973373368456e-01,4.16333634234433703e-17,4.02546125898648907e-16,4.07748979723804583e-02,3.94245765007109117e-01
0.5,35,3.69591179783265930e-02,3.69591179783265653e-02,1.62099757676765965e+00,2.77555756156289135e-17,7.50980465278019277e-16,1.58403845878933303e+00,4.28592062104468496e+01
0.5,36,1.36997953535143713e-01,1.36997953535143741e-01,1.28892160351251062e-01,2.77555756156289135e-17,2.02598468804928911e-16,8.10579318389265113e-03,5.91672574277782512e-02
0.5,37,9.91864069408915916e-02,9.91864069408916194e-02,1.38327375097327232e-01,2.77555756156289135e-17,2.79832453575713909e-16,3.91409681564356404e-02,3.94620284811415922e-01
0.5,38,-3.55114215925495594e-02,-3.55114215925495386e-02,-1.55336801991385554e+00,2.08166817117216851e-17,5.86196800301824813e-16,1.51785659832130593e+00,4.27427720505494619e+01
0.5,39,-1.31699312694026627e-01,-1.31699312694026655e-01,-1.23892928918107728e-01,2.77555756156289135e-17,2.10749585915552015e-16,7.80638377591889865e-03,5.92742939673136654e-02
0.5,40,-9.54294352326154754e-02,-9.54294352326155310e-02,-1.33118390444259244e-01,5.55111512312578270e-17,5.81698415126797908e-16,3.76889552116437682e-02,3.94940566501043200e-01
0.5,41,3.42214727034180141e-02,3.42214727034179864e-02,1.49353675580122425e+00,2.77555756156289135e-17,8.11057310600683462e-16,1.45931528309780623e+00,4.26432636533509282e+01
0.5,42,1.26971380041168619e-01,1.26971380041168647e-01,1.19433577755183623e-01,2.77555756156289135e-17,2.18597101225721668e-16,7.53780228598499580e-03,5.93661523056689885e-02
0.5,43,9.20693441443281302e-02,9.20693441443281718e-02,1.28456768762412937e-01,4.16333634234433703e-17,4.52195720631818631e-16,3.63874246180848071e-02,3.95217593393994315e-01
0.5,44,-3.30625652611812870e-02,-3.30625652611812801e-02,-1.44011414199812071e+00,6.93889390390722838e-18,2.09871613079405370e-16,1.40705157673693937e+00,4.25572415697869886e+01
0.5,45,-1.22718562143844565e-01,-1.22718562143844578e-01,-1.15423453428808026e-01,1.38777878078144568e-17,1.13086297340638713e-16,7.29510871503653846e-03,5.94458457432509441e-02
0.5,46,-8.90408508867776005e-02,-8.90408508867776283e-02,-1.24252907627694406e-01,2.77555756156289135e-17,3.11717322321215181e-16,3.52120567409168056e-02,3.95459571536346699e-01
0.5,47,3.20139211145040736e-02,3.20139211145040598e-02,1.39203376391213851e+00,1.38777878078144568e-17,4.33492284752555734e-16,1.36001984279763444e+00,4.24821388774357374e+01
0.5,48,1.18866275929531057e-01,1.18866275929531084e-01,1.11791873470990122e-01,2.77555756156289135e-17,2.33502525410012760e-16,7.07440245854093486e-03,5.95156397659411737e-02
0.5,49,8.62927789609400087e-02,8.62927789609400503e-02,1.20436480562151560e-01,4.16333634234433703e-17,4.82466365375583769e-16,3.41437016012115513e-02,3.95672755152160827e-01
0.5,50,-3.10590992396098213e-02,-3.10590992396098109e-02,-1.34846188569171410e+00,1.04083408558608426e-17,3.35114060313347232e-16,1.31740278645210429e+00,4.24160010658652382e+01
0.90000000000000002,0,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.90000000000000002,1,9.00000000000000022e-01,9.00000000000000022e-01,3.70370370370370350e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.29629629629629672e-01,5.88477366255144019e-01
