# x l forward_absolute forward_relative backward_absolute backward_relative
0.90 5 2.28983498828938536e-16 5.56578856570812289e-15 6.36221277105895711e-01 1.54643156711548109e+01
0.90 6 2.49800180540660222e-16 1.03580906292119959e-15 6.23622160639703882e-01 2.58588078051434023e+00
0.90 7 2.22044604925031308e-16 6.03669159785124997e-16 1.29197586861159758e-01 3.51247438473339946e-01
0.90 8 1.66533453693773481e-16 4.06490563294233710e-16 2.60276924399979515e-01 6.35308469650708418e-01
0.90 9 5.55111512312578270e-17 1.50228892921806815e-16 2.44546567098693546e-01 6.61812252641200249e-01
0.90 10 5.55111512312578270e-17 2.10952216052727780e-16 1.33066966097233452e-01 5.05678062137147610e-01
0.90 11 1.11022302462515654e-16 9.55331395598550608e-16 6.03330783464116338e-02 5.19157706685955400e-01
0.90 12 9.71445146547011973e-17 2.38398968873601997e-15 4.88396572107647864e-01 1.19855701174405329e+01
0.90 13 5.55111512312578270e-17 3.12210283289969351e-16 3.32253153680156510e-01 1.86868492066250558e+00
0.90 14 0.00000000000000000e+00 0.00000000000000000e+00 1.05778492055471462e-01 3.90654034463783884e-01
0.90 15 1.11022302462515654e-16 3.63771941570219781e-16 1.96175962605059317e-01 6.42783559909898106e-01
0.90 16 1.66533453693773481e-16 5.98312246530857501e-16 1.83655868719927257e-01 6.59828718885833942e-01
0.90 17 1.94289029309402395e-16 9.76182861815257587e-16 9.72399150972793336e-02 4.88570759449159842e-01
0.90 18 1.80411241501587938e-16 2.11190325829140110e-15 5.75961171793125948e-02 6.74223105630881614e-01
0.90 19 1.59594559789866253e-16 4.10966312883177040e-15 4.31502251982982199e-01 1.11114620530751846e+01
0.90 20 1.11022302462515654e-16 7.43577889271272907e-16 2.26447383692709309e-01 1.51664362801408514e+00
0.90 21 8.32667268468867405e-17 3.69464872240509089e-16 9.34174681774445625e-02 4.14504979986514754e-01
0.90 22 5.55111512312578270e-17 2.18610787834809304e-16 1.64346350339143354e-01 6.47219240252128625e-01
